文本ID,简体中文,繁体中文,英文,俄语,西班牙语西班牙,葡萄牙语巴西,德语,日语,法语,波兰语,韩语,土耳其语,西班牙语拉丁美洲,乌克兰语,意大利语,捷克语,葡萄牙语葡萄牙,匈牙利语
5038,蘑菇们想把它变成游乐场，滑梯、弹床、捉迷藏！,蘑菇們想把它變成遊樂場，滑梯、彈床、捉迷藏！,"The mushrooms want to turn it into a playground: slides, trampolines, hide and seek!","Грибы хотят превратить его в детскую площадку: горки, батуты, прятки!","¡Las setas quieren convertirlo en un parque infantil: toboganes, camas elásticas, escondite!","Os cogumelos querem transformá-lo num parquinho: escorregadores, camas elásticas, esconde-esconde!","Die Pilze wollen daraus einen Spielplatz machen: Rutschen, Trampoline, Verstecken!",キノコたちはこれを遊び場にしたいらしい。滑り台、トランポリン、かくれんぼ！,"Les champignons veulent en faire un terrain de jeu : toboggans, trampolines, cache-cache !","Grzybki chcą zamienić go w plac zabaw: zjeżdżalnie, trampoliny, zabawa w chowanego!","버섯들이 이걸 놀이터로 만들고 싶어해요: 미끄럼틀, 트램펄린, 숨바꼭질!","Mantarlar onu bir oyun alanına dönüştürmek istiyor: kaydıraklar, trambolinler, saklambaç!","¡Los hongos quieren convertirlo en un parque infantil: toboganes, camas elásticas, escondite!","Гриби хочуть перетворити його на дитячий майданчик: гірки, батути, хованки!","I funghi vogliono trasformarlo in un parco giochi: scivoli, tappeti elastici, nascondino!","Houby z něj chtějí udělat hřiště: skluzavky, trampolíny, schovávanou!","Os cogumelos querem transformá-lo num parque infantil: escorregas, camas elásticas, escondidas!","A gombák játszótérré akarják változtatni: csúszdák, trambulinok, bújócska!"
5039,罐子,罐子,Jar,Банка,Frasco,Pote,Glas,瓶,Bocal,Słoik,항아리,Kavanoz,Frasco,Банка,Barattolo,Sklenice,Frasco,Üveg
5040,罐子总把一肚子的话写在身上,罐子總把一肚子的話寫在身上,A jar always wears its thoughts on its label.,Банка всегда носит свои мысли на этикетке.,Un tarro siempre lleva sus pensamientos en la etiqueta.,Um pote sempre usa seus pensamentos no rótulo.,Ein Glas trägt seine Gedanken immer auf dem Etikett.,瓶はいつもその思いをラベルに書いている。,Un pot porte toujours ses pensées sur son étiquette.,Słoik zawsze nosi swoje myśli na etykiecie.,항아리는 항상 자신의 생각을 라벨에 적어요.,Bir kavanoz düşüncelerini hep etiketinde taşır.,Un frasco siempre lleva sus pensamientos en la etiqueta.,Банка завжди носить свої думки на етикетці.,Un barattolo porta sempre i suoi pensieri sull'etichetta.,Sklenice vždy nosí své myšlenky na štítku.,Um frasco usa sempre os seus pensamentos no rótulo.,Egy üveg mindig a címkéjére írja a gondolatait.
5041,画框,畫框,Picture Frame,Рамка для картины,Marco para Cuadros,Moldura,Bilderrahmen,額縁,Cadre,Ramka na zdjęcia,액자,Çerçeve,Marco para Cuadros,Рамка для картини,Cornice,Obrazový rám,Moldura,Képkeret
5042,这幅画总是在变，因为风景总不停留,這幅畫總是在變，因為風景總不停留,This painting is never the same—because the view never stays still.,Эта картина никогда не бывает одинаковой — потому что пейзаж никогда не стоит на месте.,"Este cuadro nunca es el mismo, porque el paisaje nunca se queda quieto.",Esta pintura nunca é a mesma — porque a vista nunca fica parada.,Dieses Bild ist nie dasselbe – denn der Ausblick bleibt nie stehen.,この絵はいつも違う。景色が決して止まらないから。,Ce tableau n'est jamais le même – car le paysage ne reste jamais en place.,Ten obraz nigdy nie jest taki sam – bo widok nigdy nie stoi w miejscu.,이 그림은 결코 같지 않아요. 풍경이 절대 가만히 있지 않으니까요.,Bu tablo asla aynı değil—çünkü manzara asla hareketsiz kalmıyor.,"Esta pintura nunca es la misma, porque el paisaje nunca se queda quieto.",Ця картина ніколи не буває однаковою — тому що краєвид ніколи не стоїть на місці.,Questo quadro non è mai lo stesso—perché il panorama non sta mai fermo.,Tento obraz není nikdy stejný – protože výhled nikdy nezůstane stát.,Esta pintura nunca é a mesma — porque a vista nunca fica parada.,Ez a kép sosem ugyanaz – mert a kilátás sosem marad veszteg.
5043,小石头,小石頭,Little Stone,Камешек,Piedrita,Pedrinha,Kleiner Stein,小さな石,Petit caillou,Kamyk,작은 돌,Küçük Taş,Piedrita,Камінчик,Sassolino,Kamínek,Pedrinha,Kavics
5044,小石头不说话，但它们什么都知道，它们是最好的观察者,小石頭不說話，但它們什麼都知道，它們是最好的觀察者,"They don't speak, but they see everything. Little stones are the best listeners.","Они молчат, но видят всё. Камешки — лучшие слушатели.","No hablan, pero lo saben todo. Las piedritas son las mejores observadoras.","Não falam, mas sabem tudo. As pedrinhas são as melhores observadoras.","Sie sprechen nicht, aber sie sehen alles. Kleine Steine sind die besten Zuhörer.",彼らは話さないけど、すべてを知っている。小さな石は最高の観察者。,"Ils ne parlent pas, mais ils savent tout. Les petits cailloux sont les meilleurs observateurs.","Nie mówią, ale wiedzą wszystko. Kamyki są najlepszymi obserwatorami.","말하지 않지만, 모든 것을 알고 있어요. 작은 돌들은 최고의 관찰자랍니다.",Konuşmazlar ama her şeyi bilirler. Küçük taşlar en iyi gözlemcilerdir.,"No hablan, pero lo saben todo. Las piedritas son las mejores observadoras.","Вони мовчать, але знають усе. Камінці — найкращі спостерігачі.","Non parlano, ma sanno tutto. I sassolini sono i migliori osservatori.","Nemluví, ale vědí všechno. Kamínky jsou nejlepší pozorovatelé.","Não falam, mas sabem tudo. As pedrinhas são as melhores observadoras.","Nem szólnak, de mindent tudnak. A kis kövek a legjobb megfigyelők."
5045,木桌,木桌,Wooden Table,Деревянный стол,Mesa de Madera,Mesa de Madeira,Holztisch,木のテーブル,Table en Bois,Drewniany stół,나무 탁자,Ahşap Masa,Mesa de Madera,Дерев'яний стіл,Tavolo di legno,Dřevěný stůl,Mesa de Madeira,Fa asztal
5046,小木桌与蘑菇的故事，要从第一颗孢子落到桌面说起……,小木桌與蘑菇的故事，要從第一顆孢子落到桌面說起……,The story of the little wooden table and the mushrooms began when the very first spore landed on it...,"История маленького деревянного столика и грибов началась, когда на него упала самая первая спора...",La historia de la mesita de madera y las setas comenzó cuando la primera espora cayó sobre ella...,A história da mesinha de madeira e dos cogumelos começou quando o primeiro esporo pousou nela...,"Die Geschichte des kleinen Holztisches und der Pilze begann, als die allererste Spore auf ihn fiel...",小さな木のテーブルとキノコの物語は、最初の胞子がテーブルに落ちたときに始まった…,L'histoire de la petite table en bois et des champignons a commencé quand la toute première spore est tombée sur elle...,"Historia małego drewnianego stołu i grzybów zaczęła się, kiedy pierwszy zarodnik na niego spadł...","작은 나무 탁자와 버섯의 이야기는, 첫 번째 포자가 탁자 위에 떨어졌을 때부터 시작되었답니다...","Küçük ahşap masa ve mantarların hikayesi, ilk sporun üzerine düştüğü gün başladı...",La historia de la mesita de madera y los hongos comenzó cuando la primera espora cayó sobre ella...,"Історія маленького дерев'яного столика та грибів почалася, коли на нього впала найперша спора...",La storia del tavolino di legno e dei funghi è iniziata quando la primissima spora è caduta su di esso...,"Příběh malého dřevěného stolu a hub začal, když na něj dopadla úplně první výtrus...",A história da mesinha de madeira e dos cogumelos começou quando o primeiro esporo pousou nela...,"A kis faasztal és a gombák története akkor kezdődött, amikor az allererste spóra ráesett..."
5047,多个罐子,多個罐子,Jars,Несколько банок,Varios Frascos,Vários Potes,Mehrere Gläser,複数の瓶,Plusieurs Bocaux,Kilka słoików,여러 개의 항아리,Birkaç Kavanoz,Varios Frascos,Кілька банок,Vasi multipli,Více sklenic,Vários Frascos,Több üveg
5048,只有在下雨的时候，才听得见罐子们的聊天,只有在下雨的時候，才聽得見罐子們的聊天,You can only hear the jars chatting when it rains.,"Только во время дождя можно услышать, как болтают банки.",Solo cuando llueve se puede oír charlar a los frascos.,Só se ouve os potes conversando quando chove.,"Nur wenn es regnet, kann man die Gläser plaudern hören.",雨の日だけ、瓶たちのおしゃべりが聞こえる。,Ce n'est que quand il pleut qu'on entend les bocaux discuter.,"Tylko podczas deszczu słychać, jak słoiki rozmawiają.","비가 올 때만, 항아리들이 수다떠는 소리를 들을 수 있어요.",Sadece yağmur yağdığında kavanozların sohbeti duyulur.,Solo cuando llueve se puede oír charlar a los frascos.,"Тільки під час дощу можна почути, як балакають банки.",Solo quando piove si sentono i vasi chiacchierare.,"Pouze když prší, je slyšet, jak sklenice povídají.",Só se ouve os frascos a conversar quando chove.,"Csak esőben lehet hallani, ahogy az üvegek beszélgetnek."
5049,食品罐头,食品罐頭,Canned Food,Консервная банка,Lata de Comida,Lata de Comida,Konservendose,食品缶,Boîte de Conserve,Konserwa,통조림,Konserve Kutusu,Lata de Comida,Консервна банка,Scatoletta,Konzerva,Lata de Comida,Konzerv
5050,昨天罐头里留宿了一只蜗牛，它告诉蘑菇们，今天要继续远行~,昨天罐頭裡留宿了一隻蝸牛，它告訴蘑菇們，今天要繼續遠行~,A snail spent the night in the can. It told the mushrooms it has to continue its journey today.,"В консервной банке переночевала улитка. Она сказала грибам, что сегодня ей снова в путь.",Anoche una caracola se quedó a dormir en la lata. Les dijo a las setas que hoy debe seguir su viaje.,Um caracol passou a noite na lata. Disse aos cogumelos que hoje precisa continuar sua viagem.,"Eine Schnecke hat in der Dose übernachtet. Sie erzählte den Pilzen, dass sie heute weiterreisen muss.",缶にカタツムリが泊まっていった。キノコたちに言ったんだ、今日も旅を続けるって〜。,Un escargot a passé la nuit dans la boîte. Il a dit aux champignons qu'aujourd'hui il doit poursuivre son voyage.,"W puszce nocował ślimak. Powiedział grzybkom, że dziś musi ruszać w dalszą drogę.","어제 깡통에 달팽이가 묵었어요. 버섯들에게 말했대요, 오늘도 계속 여행을 떠난다고~",Bir salyangoz geceyi teneke kutuda geçirdi. Mantarlara bugün yolculuğuna devam etmesi gerektiğini söyledi.,Un caracol pasó la noche en la lata. Les dijo a los hongos que hoy debe seguir su viaje.,"У консервній банці переночував равлик. Він сказав грибам, що сьогодні має вирушати далі.",Una lumaca ha passato la notte nella scatoletta. Ha detto ai funghi che oggi deve continuare il suo viaggio.,"V konzervě přes noc přespal šnek. Řekl houbám, že dnes musí pokračovat v cestě.",Um caracol passou a noite na lata. Disse aos cogumelos que hoje tem de continuar a sua viagem.,"Egy csiga éjszakázott a konzervben. Azt mondta a gombáknak, hogy ma tovább kell utaznia~"
5051,铁盒,鐵盒,Metal Box,Железная коробка,Caja de Metal,Caixa de Metal,Metallbox,鉄の箱,Boîte en Métal,Metalowe pudełko,철제 상자,Metal Kutu,Caja de Metal,Металева коробка,Scatola di metallo,Kovová krabice,Caixa de Metal,Fémdoboz
5052,被遗忘的秘密从铁盒里述说出绣红花朵，苔藓是它的粉丝,被遺忘的秘密從鐵盒裡述說出鏽紅花朵，苔蘚是它的粉絲,"Forgotten secrets speak from the metal box in rust-red flowers, with moss as their biggest fan.","Забытые секреты говорят из железной коробки ржаво-красными цветами, а мох — их главный поклонник.","Secretos olvidados hablan desde la caja de metal con flores oxidadas, y el musgo es su mayor admirador.","Segredos esquecidos falam da caixa de metal com flores enferrujadas, e o musgo é seu maior fã.","Vergessene Geheimnisse sprechen aus der Metallbox in rostroten Blumen, und das Moos ist ihr größter Fan.",忘れられた秘密が、錆びた花となって鉄の箱から語りかける。苔はその大ファン。,"Des secrets oubliés parlent depuis la boîte en métal à travers des fleurs rouillées, et la mousse est leur plus grande fan.","Zapomniane sekrety mówią z metalowego pudełka w zardzewiałych kwiatach, a mech jest ich największym fanem.",잊혀진 비밀들이 녹슨 꽃이 되어 철제 상자에서 이야기해요. 이끼는 그 열렬한 팬이랍니다.,"Unutulmuş sırlar, paslı çiçeklerle metal kutudan konuşuyor; yosunlar da onların en büyük hayranı.","Secretos olvidados hablan desde la caja de metal con flores oxidadas, y el musgo es su mayor admirador.","Забуті секрети говорять з металевої коробки іржаво-червоними квітами, а мох — їхній найбільший фанат.","Segreti dimenticati parlano dalla scatola di metallo in fiori arrugginiti, e il muschio è il loro più grande fan.",Zapomenutá tajemství mluví z kovové krabice rezavými květy a mech je jejich největší fanoušek.,"Segredos esquecidos falam da caixa de metal com flores enferrujadas, e o musgo é o seu maior fã.","Elfelejtett titkok beszélnek a fémdobozból rozsdás virágok formájában, a moha pedig a legnagyobb rajongójuk."
5053,小木墩,小木墩,Little Wooden Stump,Маленький пенек,Pequeño Tocón,Pequeno Toco,Kleiner Baumstumpf,小さな切り株,Petite Souche,Mały pień,작은 나무 그루터기,Küçük Kütük,Pequeño Tocón,Маленький пеньок,Ceppetto,Malý pařez,Pequeno Toco,Kis facsonk
5054,歇脚的地方并不缺，小木墩也不特别，但蘑菇们总愿意依偎它,歇腳的地方並不缺，小木墩也不特別，但蘑菇們總願意依偎它,"There's no shortage of resting spots, and this little stump is nothing special, yet the mushrooms always choose to snuggle up to it.","Мест для отдыха много, и этот пенек ничем не примечателен, но грибы всегда жмутся именно к нему.","No faltan lugares para descansar, y este pequeño tocón no es especial, pero las setas siempre se acurrucan contra él.","Não faltam lugares para descansar, e este toquinho não é especial, mas os cogumelos sempre preferem se aconchegar nele.","Es mangelt nicht an Rastplätzen, und dieser kleine Stumpf ist nichts Besonderes, aber die Pilze kuscheln sich immer an ihn.",休む場所はたくさんあるし、この切り株は特別じゃない。でもキノコたちはいつも、そばに寄り添いたがるんだ。,"Les endroits pour se reposer ne manquent pas, et cette petite souche n'a rien de spécial, mais les champignons aiment toujours se blottir contre elle.","Miejsc do odpoczynku nie brakuje, a ten mały pień nie jest niczym szczególnym, ale grzybki zawsze się do niego tulą.","쉴 곳은 많고, 이 작은 그루터기는 특별하지 않아요. 그래도 버섯들은 항상 이곳에 기대고 싶어 한답니다.","Dinlenecek yer sıkıntısı yok ve bu küçük kütük özel değil, ama mantarlar hep ona sokulmayı tercih ediyor.","No faltan lugares para descansar, y este pequeño tocón no es especial, pero los hongos siempre se acurrucan contra él.","Місць для відпочинку багато, і цей пеньок нічим не примітний, але гриби завжди туляться саме до нього.","Non mancano i posti dove riposare, e questo ceppetto non è niente di speciale, ma i funghi amano sempre rannicchiarsi vicino a lui.","Míst k odpočinku není nouze a tenhle malý pařez není nijak zvláštní, ale houby se k němu vždycky rády tulí.","Não faltam lugares para descansar, e este toco pequeno não é especial, mas os cogumelos gostam sempre de se aconchegar nele.","Pihenőhelyből nincs hiány, és ez a kis tuskó sem különleges, de a gombák mégis mindig hozzá bújnak."
5055,小菇盆,小菇盆,Little Flower Pot,Маленький цветочный горшок,Maceta Pequeña,Vasinho de Flores,Kleiner Blumentopf,小さな植木鉢,Petit Pot de Fleurs,Mała doniczka,작은 화분,Küçük Saksı,Maceta Pequeña,Маленький горщик для квітів,Vasetto da fiori,Malý květináč,Vaso Pequeno,Kis virágcserép
5056,小盆不大，一颗蘑菇正好装得下,小盆不大，一顆蘑菇正好裝得下,"It's a small pot, just big enough for one mushroom.","Горшочек маленький, но для одного грибка в самый раз.","Es una maceta pequeña, pero justo lo que cabe para una seta.","É um vasinho pequeno, do tamanho certo para um cogumelo.","Der Topf ist klein, aber genau richtig für einen Pilz.",小さな鉢、キノコ一つがちょうど収まる大きさ。,"C'est un petit pot, juste assez grand pour un champignon.","Mała doniczka, akurat na jednego grzybka.","작은 화분이에요, 버섯 하나가 딱 들어갈 크기예요.","Küçük bir saksı, tam bir mantarlık.","Es una maceta pequeña, justo lo que cabe para un hongo.","Горщик маленький, але якраз для одного гриба.","È un vaso piccolo, grande a sufficienza per un fungo.","Malý květináč, tak akorát pro jednu houbu.","É um vaso pequeno, do tamanho certo para um cogumelo.","Kicsi cserép, pont egy gombának való."
5057,鸟笼,鳥籠,Birdcage,Птичья клетка,Jaula de pájaro,Gaiola de Pássaro,Vogelkäfig,鳥かご,Cage à oiseaux,Klatka dla ptaków,새장,Kuş Kafesi,Jaula de pájaro,Пташина клітка,Gabbia per uccelli,Ptačí klec,Gaiola de Pássaro,Madárkalitka
5058,它从不愿成为小鸟的囚笼。在被遗弃后，它和小鸟都获得了自由,它從不願成為小鳥的囚籠。在被遺棄後，它和小鳥都獲得了自由,"It never wanted to be a prison for a bird. After being abandoned, both it and the bird gained their freedom.","Она никогда не хотела быть тюрьмой для птицы. После того как её бросили, и она, и птица обрели свободу.","Nunca quiso ser una prisión para un pájaro. Después de ser abandonada, tanto ella como el pájaro obtuvieron su libertad.","Ela nunca quis ser uma prisão para um pássaro. Depois de ser abandonada, tanto ela quanto o pássaro ganharam sua liberdade.","Sie wollte nie ein Gefängnis für einen Vogel sein. Nachdem sie verlassen wurde, erlangten sowohl sie als auch der Vogel ihre Freiheit.",鳥の檻になりたくなかった。見捨てられた後、鳥とともに自由を手に入れた。,"Elle n'a jamais voulu être une prison pour un oiseau. Après avoir été abandonnée, elle et l'oiseau ont tous deux obtenu leur liberté.","Nigdy nie chciała być więzieniem dla ptaka. Po porzuceniu zarówno ona, jak i ptak zyskali wolność.","결코 새의 감옥이 되고 싶지 않았어요. 버려진 후, 새와 함께 자유를 얻게 되었답니다.","Hiçbir zaman bir kuş için hapishane olmak istemedi. Terk edildikten sonra, hem kendisi hem kuş özgürlüğüne kavuştu.","Nunca quiso ser una prisión para un pájaro. Después de ser abandonada, tanto ella como el pájaro obtuvieron su libertad.","Вона ніколи не хотіла бути в'язницею для птаха. Після того, як її покинули, і вона, і птах здобули свободу.","Non ha mai voluto essere una prigione per un uccello. Dopo essere stata abbandonata, sia essa che l'uccello hanno ottenuto la libertà.","Nikdy nechtěla být vězením pro ptáka. Poté, co byla opuštěna, získali svobodu ona i pták.","Ela nunca quis ser uma prisão para um pássaro. Depois de ser abandonada, tanto ela como o pássaro ganharam a liberdade.","Soha nem akart ketrec lenni egy madár számára. Miután elhagyták, mindketten szabadságot nyertek."
5059,公园长凳,公園長凳,Park Bench,Скамейка в парке,Banco de parque,Banco de Parque,Parkbank,公園のベンチ,Banc de parc,Ławka parkowa,공원 벤치,Park Bankı,Banco de parque,Паркова лавка,Panchina del parco,Parková lavička,Banco de Parque,Parkpad
5060,一凳的细碎言语，趁着夜光，粼粼流淌,一凳的細碎言語，趁著夜光，粼粼流淌,"A bench holds quiet murmurs, gleaming in the moonlight, drifting like tiny waves.","На скамейке шепотки, мерцающие в лунном свете, струятся, словно волны.","Un banco guarda susurros silenciosos, brillando bajo la luz de la luna, fluyendo como pequeñas olas.","Um banco guarda murmúrios silenciosos, brilhando sob a luz da lua, fluindo como pequenas ondas.","Eine Bank hält leises Gemurmel, glänzend im Mondlicht, dahinfließend wie kleine Wellen.",ベンチには静かなささやきがあり、月明かりにきらめき、さざ波のように流れる。,"Un banc garde des murmures silencieux, brillant au clair de lune, s'écoulant comme de petites vagues.","Ławka kryje ciche szepty, lśniące w świetle księżyca, płynące jak małe fale.",벤치는 조용한 속삭임을 담고 있어요. 달빛에 반짝이며 잔물결처럼 흐르고 있답니다.,"Bir bank, ay ışığında parıldayan, küçük dalgalar gibi akan sessiz mırıltıları tutar.","Un banco guarda susurros silenciosos, brillando bajo la luz de la luna, fluyendo como pequeñas olas.","На лавці тихі шепотіння, що мерехтять у місячному світлі, струмують, немов хвилі.","Una panchina trattiene mormorii silenziosi, splendenti al chiaro di luna, che scorrono come piccole onde.","Lavička drží tiché mumlání, třpytící se ve měsíčním světle, plynoucí jako malé vlnky.","Um banco guarda murmúrios silenciosos, brilhando ao luar, fluindo como pequenas ondas.","Egy pad csendes motyogásokat őriz, csillogva a holdfényben, apró hullámokként hömpölyögve."
5061,钢琴,鋼琴,Piano,Пианино,Piano,Piano,Klavier,ピアノ,Piano,Pianino,피아노,Piyano,Piano,Піаніно,Pianoforte,Klavír,Piano,Zongora
5062,想要中式古风？还是法国香颂？或者凯尔特民谣？有请蘑菇头乐队！！！,想要中式古風？還是法國香頌？或者凱爾特民謠？有請蘑菇頭樂隊！！！,Craving an ancient Chinese style? French chanson? Or Celtic folk? Welcome the Mushroom Cap Band!!!,Хочется древнекитайского стиля? Французского шансона? Или кельтского фолка? Встречайте группу «Шляпки грибов»!!!,¿Quieres un estilo chino antiguo? ¿Chanson francesa? ¿O folk celta? ¡¡¡Démosle la bienvenida a la Banda Sombrero de Seta!!!,Quer um estilo chinês antigo? Chanson francesa? Ou folk celta? Dê as boas-vindas à Banda Chapéu de Cogumelo!!!,Sehnen Sie sich nach einem alten chinesischen Stil? Französischem Chanson? Oder keltischem Folk? Begrüßen Sie die Pilzhut-Band!!!,中国古風？フレンチ・シャンソン？ケルト民謡？キノコ頭バンドの登場です！！！,Vous voulez un style chinois ancien ? Une chanson française ? Ou du folk celtique ? Voici le groupe Chapeau Champignon !!!,Masz ochotę na starożytny chiński styl? Francuską chanson? A może celtycki folk? Oto zespół Grzybowy Kapelusz!!!,중국 고풍스러운 느낌? 프랑스 샹송? 아니면 켈트 포크? 버섯 모자 밴드를 소개합니다!!!,Eski bir Çin tarzına mı can atıyorsunuz? Fransız şansonuna mı? Yoksa Kelt folkuna mı? Alkışlarla Mantar Şapka Grubu!!!,¿Quieres un estilo chino antiguo? ¿Chanson francesa? ¿O folk celta? ¡¡¡Démosle la bienvenida a la Banda Sombrero de Hongo!!!,Хочете давньокитайського стилю? Французького шансону? Чи кельтського фолку? Зустрічайте гурт «Грибний Капелюшок»!!!,Desideri uno stile cinese antico? Una chanson francese? O folk celtico? Ecco la band Cappello di Fungo!!!,Toužíte po starověkém čínském stylu? Francouzském šansonu? Nebo keltském folku? Uvítajte kapelu Houbová čepice!!!,Quer um estilo chinês antigo? Chanson francesa? Ou folk celta? Dê as boas-vindas à Banda Chapéu de Cogumelo!!!,Ősi kínai stílusra vágysz? Francia sanzonra? Vagy kelta népzenére? Íme a Gomba Kalap Zenekar!!!
5063,勇士雕像,勇士雕像,Statue of Courage,Статуя мужества,Estatua del Valor,Estátua da Coragem,Statue des Mutes,勇気の像,Statue de courage,Posąg Odwagi,용기의 동상,Cesaret Heykeli,Estatua del Valor,Статуя мужності,Statua del coraggio,Socha odvahy,Estátua da Coragem,Bátorság szobor
5064,伫立在沉默中的勇士，时间为他缠上綬带，蘑菇为他佩上勋章,佇立在沉默中的勇士，時間為他纏上綬帶，蘑菇為他佩上勳章,"A warrior stands in silence. Time winds a sash around him, and mushrooms crown him with medals.","Воин стоит в тишине. Время обвивает его лентой, а грибы увенчивают его медалями.","Un guerrero se alza en silencio. El tiempo le envuelve una banda, y las setas le coronan con medallas.","Um guerreiro permanece em silêncio. O tempo enrola uma faixa nele, e os cogumelos o coroam com medalhas.","Ein Krieger steht schweigend. Die Zeit legt ihm eine Schärpe um, und Pilze krönen ihn mit Orden.",戦士は沈黙の中に立つ。時間が彼に飾り帯を巻きつけ、キノコたちが勲章で彼を戴く。,"Un guerrier se tient en silence. Le temps lui enroule une écharpe, et les champignons le couronnent de médailles.","Wojownik stoi w ciszy. Czas owija go wstęgą, a grzyby wieńczą go medalami.","용사가 침묵 속에 서 있습니다. 시간이 그에게 리본을 감아 주고, 버섯들이 훈장으로 그를 감쌉니다.",Bir savaşçı sessizce duruyor. Zaman ona bir kuşak doluyor ve mantarlar onu madalyalarla taçlandırıyor.,"Un guerrero se alza en silencio. El tiempo le envuelve una banda, y los hongos le coronan con medallas.","Воїн стоїть у тиші. Час обвиває його стрічкою, а гриби вінчають його медалями.","Un guerriero sorge in silenzio. Il tempo gli avvolge una fascia, e i funghi lo incoronano con medaglie.",Válečník stojí v tichu. Čas mu ovine šerpu a houby ho korunují medailemi.,"Um guerreiro permanece em silêncio. O tempo enrola uma faixa nele, e os cogumelos coroam-no com medalhas.","Egy harcos némán áll. Az idő szalagot teker rá, a gombák pedig kitüntetésekkel koronázzák."
5065,搪瓷杯,搪瓷杯,Enamel Mug,Эмалированная кружка,Taza de esmalte,Caneca Esmaltada,Emaille-Becher,ホーローマグ,Mug émaillé,Emaliowany kubek,에나멜 머그,Emaye Bardak,Taza de esmalte,Емальована кружка,Tazza smaltata,Smaltovaný hrnek,Caneca Esmaltada,Zománcos bögre
5066,每个人的搪瓷杯，都印着专属自己的记忆图案,每個人的搪瓷杯，都印著專屬自己的記憶圖案,Everyone’s enamel cup carries a unique memory pattern of their own.,"На эмалированной кружке каждого есть уникальный рисунок, хранящий его собственные воспоминания.",La taza de esmalte de cada persona lleva un patrón de recuerdo único y propio.,A caneca esmaltada de cada pessoa carrega um padrão de memória único.,Jeder Emaille-Becher trägt ein einzigartiges Muster seiner eigenen Erinnerung.,一人ひとりのホーローマグには、それぞれの思い出の模様が描かれている。,Le mug émaillé de chacun porte un motif de souvenir qui lui est propre.,Emaliowany kubek każdego człowieka niesie unikalny wzór własnych wspomnień.,모든 이의 에나멜 머그에는 각자의 독특한 추억 무늬가 새겨져 있습니다.,"Herkesin emaye bardağı, kendine özgü bir anı deseni taşır.",La taza de esmalte de cada persona lleva un patrón de recuerdo único y propio.,"Емальована кружка кожної людини має унікальний візерунок, що зберігає її власні спогади.",La tazza smaltata di ognuno porta un motivo di ricordo unico e personale.,Každý smaltovaný hrnek nese jedinečný vzor vlastních vzpomínek.,A caneca esmaltada de cada pessoa traz um padrão de memória único.,Mindenki zománcos bögréje egyedi emlékmintát hordoz.
5067,透明玻璃罐,透明玻璃罐,Glass Jar,Стеклянная банка,Frasco de vidrio,Pote de Vidro,Glas,ガラス瓶,Bocal en verre,Szklany słoik,유리병,Cam Kavanoz,Frasco de vidrio,Скляна банка,Barattolo di vetro,Skleněná nádoba,Frasco de Vidro,Üveg
5068,小小的玻璃罐，白天蓄着太阳，晚上撒着月光,小小的玻璃罐，白天蓄著太陽，晚上撒著月光,"This tiny glass jar—by day it holds the sun, by night it scatters the moon.","Эта маленькая стеклянная банка — днём она хранит солнце, ночью разбрасывает лунный свет.","Este pequeño frasco de vidrio: de día guarda el sol, de noche esparce la luna.","Este pequeno pote de vidro: de dia guarda o sol, à noite espalha a lua.","Dieses kleine Glas: tagsüber hält es die Sonne, nachts verstreut es den Mond.",この小さなガラス瓶は、昼は太陽を蓄え、夜は月を散らす。,"Ce petit bocal en verre : le jour, il retient le soleil, la nuit, il disperse la lune.","Ten mały szklany słoik: w dzień trzyma słońce, w nocy rozsiewa księżyc.","이 작은 유리병은 낮에는 태양을 품고, 밤에는 달을 흩뿌립니다.","Bu küçük cam kavanoz: gündüz güneşi tutar, gece ayı saçar.","Este pequeño frasco de vidrio: de día guarda el sol, de noche esparce la luna.","Ця маленька скляна банка: вдень тримає сонце, вночі розкидає місячне світло.","Questo piccolo barattolo di vetro: di giorno trattiene il sole, di notte sparge la luna.","Tato malá sklenice: přes den drží slunce, v noci rozptyluje měsíc.","Este pequeno frasco de vidro: de dia guarda o sol, à noite espalha a lua.","Ez a kis üveg: nappal a napot tartja, éjjel a holdat szórja szét."
5069,破靴子,破靴子,Tattered Boots,Рваные сапоги,Botas desgastadas,Botas Gastas,Zerissene Stiefel,ボロボロのブーツ,Bottes usées,Podarte buty,해진 장화,Yıpranmış Botlar,Botas desgastadas,Поношені чоботи,Stivali logori,Otrhané boty,Botas Gastas,Kopott csizma
